COD_PROD;DESC_PROD;FAM_PROD;TOTAL_PROD
00001;Cooking Gear;CAMPING EQUIPMENT;TOTAL PRODUCTS
00002;Lanterns;CAMPING EQUIPMENT;TOTAL PRODUCTS
00003;Packs;CAMPING EQUIPMENT;TOTAL PRODUCTS
00004;Sleeping Bags;CAMPING EQUIPMENT;TOTAL PRODUCTS
00005;Tents;CAMPING EQUIPMENT;TOTAL PRODUCTS
00006;Golf Accessories;GOLF EQUIPMENT;TOTAL PRODUCTS
00007;Irons;GOLF EQUIPMENT;TOTAL PRODUCTS
00008;Putters;GOLF EQUIPMENT;TOTAL PRODUCTS
00009;Woods;GOLF EQUIPMENT;TOTAL PRODUCTS
00010;Climbing Accessories;MOUNTAINEERING EQUIPMENT;TOTAL PRODUCTS
00011;Rope;MOUNTAINEERING EQUIPMENT;TOTAL PRODUCTS
00012;Safety;MOUNTAINEERING EQUIPMENT;TOTAL PRODUCTS
00013;Tools;MOUNTAINEERING EQUIPMENT;TOTAL PRODUCTS
00014;First Aid;OUTDOOR PROTECTION;TOTAL PRODUCTS
00015;Insect Repellents;OUTDOOR PROTECTION;TOTAL PRODUCTS
00016;Sunscreen;OUTDOOR PROTECTION;TOTAL PRODUCTS
00017;Binoculars;PERSONAL ACCESSORIES;TOTAL PRODUCTS
00018;Eyewear;PERSONAL ACCESSORIES;TOTAL PRODUCTS
00019;Knives;PERSONAL ACCESSORIES;TOTAL PRODUCTS
00020;Navigation;PERSONAL ACCESSORIES;TOTAL PRODUCTS
00021;Watches;PERSONAL ACCESSORIES;TOTAL PRODUCTS
